,0
0,እግዚአብሄር
1,ህና
2,በሰላም
3,ሳቸው
4,ጥበብ
5,ሆይ
6,አላህ
7,በሚያ
8,ቿ
9,ሰቦች
10,ጤና
11,ኢኮኖሚ
12,ደስ
13,በመሆኑ
14,ተዋህዶ
15,ማርያም
16,አምላክ
17,ቤተ
18,በኩል
19,ወሳኝ
20,ልን
21,ቅዱ
22,ምስጋና
23,ድንግል
24,ነትን
25,በመሆን
26,ተቋማት
27,ቅድስት
28,ረጅም
29,አገልግሎት
30,ጣሪ
31,እንዲሆን
32,ጋራ
33,አማራጭ
34,ፈተና
35,አስተዳደር
36,ገዱ
37,በአዲስ
38,ጉዳዩ
39,በሚ
40,ሜን
41,የጋራ
42,ርክ
43,በቀላሉ
44,መልኩ
45,ጉዳዮች
46,ተቋ
47,ተካሄደ
48,ሏል
49,ግንዛቤ
50,ጠቃሚ
51,ጠቅላይ
52,መፍትሄ
53,ብሄራዊ
54,ቸዉን
55,ኦርቶዶክስ
56,ይችላል
57,በዛሬው
58,ሪክ
59,ክፍል
60,የኮ
61,ፕሮፌሰር
62,አቀፍ
63,ለሙ
64,ፀ
65,በተጨማሪ
66,ስጥ
67,አንፃር
68,እድል
69,የተለያዩ
70,ሁላችንም
71,ትኩረት
72,ዋነኛ
73,አካባቢ
74,በተለይም
75,ድንቅ
76,ቅድሚያ
77,ተወካዮች
78,ክርስቶስ
79,ቅድመ
80,ወይንም
81,ወራት
82,እንችላለን
83,ጠናቀቅ
84,ፕሮጀክት
85,ቦታዎች
86,ተፈ
87,ሚንስት
88,ሚና
89,እጅግ
90,እይታ
91,ዷል
92,ዘላቂ
93,ነገሮች
94,ምህረት
95,ብሄረ
96,መነሻ
97,እንዲሁም
98,መሰረት
99,ትክክለኛ
100,መስራት
101,ጎዳ
102,የሚችሉ
103,ባንክ
104,ገነ
105,ሰፊ
106,መልካም
107,ዝግ
108,አቅጣጫ
109,ገፅ
110,በተጨማሪም
111,የአሜሪካ
112,ኡ
113,መፍጠር
114,ተጠቃሚ
115,እንደገና
116,ገበያ
117,–
118,ሶስት
119,ምርጥ
120,ደስታ
121,አንዳንድ
122,በተመለከተ
123,ፕሬዚዳንት
124,ወሰን
125,ውሳኔ
126,መጠን
127,አጠና
128,ላዊ
129,ግዛ
130,የኢኮኖሚ
131,ንቅናቄ
132,የሚገኙ
133,ተካ
134,እንዳሉ
135,ተቀመጠ
136,ቭ
137,ጿ
138,የፌደራል
139,ችግሮች
140,ሺህ
141,ሚኒስቴር
142,ዳሴ
143,ሻሻል
144,መስጠት
145,ግዛት
146,በዚህም
147,ምግብ
148,ትብብር
149,የሚችል
150,ጉዳት
151,ቅዱስ
152,በተመሳሳይ
153,አግባብ
154,የሚገኝ
155,ስጦታ
156,ኩባንያ
157,ተሳታፊ
158,የሚያስችል
159,ባሻገር
160,ከፍተኛ
161,ድርሻ
162,እግዚ
163,ህገ
164,ባዊ
165,ዲት
166,ፌዴራል
167,ረገድ
168,ሰንደቅ
169,አዲሱ
170,ራቸውን
171,ይበልጥ
172,የኤርትራ
173,ስፋፋ
174,ገቢ
175,በረታ
176,በማለት
177,ባህል
178,ቤቱ
179,ጠቅላይ
180,ደብዳቤ
181,ነበራቸው
182,ፎች
183,ዲፕሎማ
184,ኢንዱስትሪ
185,ሂደት
186,ችሎት
187,ደረጃ
188,ቃለ
189,ሜትር
190,ጀመሩ
191,መሩ
192,ቲክ
193,ሚኒስትር
194,አፍሪካ
195,ሲኖዶስ
196,የቤተ
197,ልዩ
198,በሰሜን
199,በመጀመሪያ
200,ስፍራ
201,ምሳሌ
202,የመጀመሪያ
203,አውሮፓ
204,የከተማ
205,ባለሙያዎች
206,ዚሁ
207,መኮንን
208,ስተካከል
209,እምነ
210,የተፈጥሮ
211,በቅርብ
212,በተለያዩ
213,ሁኔታዎች
214,በዚሁ
215,፬
216,ማህበር
217,ዲግሪ
218,መረጃዎች
219,ጠናከር
220,ድንበር
221,ህብረት
222,ከሌሎች
223,በርካታ
224,መንግስታት
225,ሳይንስ
226,መንገዶች
227,መብቶች
228,ያችን
229,አክ
230,ወላ
231,ኮሚቴ
232,መግባባት
233,ባለስልጣናት
234,የስራ
235,ቋቋም
236,ያዊ
237,–
238,ጥቅም
239,—
240,አዳዲስ
241,ከተሞች
242,ድል
243,እነሆ
244,ይቻላል
245,ጠቅላላ
246,ረቱ
247,ክብር
248,ረጋገጥ
249,የአንድ
250,ቀውስ
251,ልዩ
252,አቋ
253,አምላክ
254,አስገራሚ
255,ደረጉ
256,ቤቱ
257,አርበኞች
258,ነቶች
259,ጨምሮ
260,ቀጣይ
261,አስታው
262,፯
263,ለመስጠት
264,፳
265,ስላሴ
266,ኮሚሽን
267,ቆጣጠር
268,ሀገራት
269,ባለፉት
270,ተከትሎ
271,የቆየ
272,ራዊ
273,ከአዲስ
274,ዲሲ
275,ዋሽንግተን
276,ሳዊ
277,ስቱ
278,ቅዱስ
279,መሰረታዊ
280,ታላቅ
281,ዜጎች
282,ቨ
283,ጉባኤ
284,እርዳታ
285,ተጨማሪ
286,የመገናኛ
287,ሊቀ
288,ክፍሎች
289,የትምህርት
290,የደቡብ
291,ዎት
292,ህብረተሰቡ
293,ጓደ
294,አፍሪካ
295,ክልላዊ
296,ሳተፉ
297,ልማት
298,አንዱ
299,ቐ
300,ቨር
301,የአስቸኳይ
302,ጠናቀቀ
303,ስቴትስ
304,ዩናይትድ
305,ፖሊሲ
306,ፓትርያርክ
307,ኼ
308,ተላለፈ
309,በመስጠት
310,የልማት
311,አንቀፅ
312,ክፍያ
313,አስቸጋሪ
314,አማካኝነት
315,በተደጋጋሚ
316,ዘገባ
317,ስራዎች
318,የሚሉ
319,ቛ
320,በእርግጥ
321,አነስተኛ
322,የፀጥታ
323,ልምድ
324,ይመልከቱ
325,አቅርቦ
326,!!!!
327,መመሪያ
328,አበበ
329,ታወቁ
330,ሙስና
331,ዯ
332,ፓርቲው
333,ቀጠሮ
334,፲
335,፰
336,፻
337,፮
338,ሚከተለው
